Date,Open,High,Low,Close,Adj Close,Volume
2001-12-14,15.853278160095215,15.896712303161621,15.22783374786377,15.22783374786377,-48.46143341064453,48358107
2001-12-17,15.358135223388672,15.549242973327637,15.245206832885742,15.549242973327637,-49.48429489135742,5616579
2001-12-18,15.453688621520996,15.540555953979492,15.253893852233887,15.375508308410645,-48.931392669677734,4075931
2001-12-19,15.22783374786377,15.375508308410645,15.201773643493652,15.32338809967041,-48.76551818847656,5425251
2001-12-20,15.22783374786377,15.314701080322266,15.21045970916748,15.22783374786377,-48.46143341064453,3172676
2001-12-21,15.21045970916748,15.592676162719727,15.21045970916748,15.592676162719727,-49.62251663208008,3272207
2001-12-24,15.557929039001465,15.592676162719727,15.340761184692383,15.462374687194824,-49.20783996582031,350253
2001-12-25,15.462374687194824,15.462374687194824,15.462374687194824,15.462374687194824,-49.20783996582031,0
2001-12-26,15.462374687194824,15.462374687194824,15.462374687194824,15.462374687194824,-49.20783996582031,0
2001-12-27,15.41894245147705,15.41894245147705,15.340761184692383,15.41894245147705,-49.06962585449219,997724
2001-12-28,15.332074165344238,15.453688621520996,15.236519813537598,15.453688621520996,-49.1801872253418,735532
2001-12-31,15.453688621520996,15.453688621520996,15.453688621520996,15.453688621520996,-49.1801872253418,0
2002-01-01,15.453688621520996,15.453688621520996,15.453688621520996,15.453688621520996,-49.1801872253418,0
2002-01-02,15.445001602172852,15.540555953979492,15.314701080322266,15.375508308410645,-48.931392669677734,802063
2002-01-03,15.41894245147705,15.453688621520996,15.340761184692383,15.401568412780762,-49.01432418823242,831538
2002-01-04,15.375508308410645,15.410255432128906,15.332074165344238,15.3668212890625,-48.90374755859375,2843069
2002-01-07,15.401568412780762,15.809844970703125,15.375508308410645,15.792470932006836,-50.258358001708984,2265789
2002-01-08,15.722976684570312,16.14862632751465,15.70560359954834,16.070446014404297,-51.14297866821289,4160966
2002-01-09,16.06175994873047,16.113880157470703,15.948831558227539,16.070446014404297,-51.14297866821289,2215028
2002-01-10,16.027013778686523,16.06175994873047,15.68822956085205,15.809844970703125,-50.31363296508789,1794551
2002-01-11,15.818531036376953,15.974891662597656,15.636110305786133,15.827218055725098,-50.368919372558594,1279755
2002-01-14,15.80115795135498,15.80115795135498,15.557929039001465,15.740350723266602,-50.092491149902344,912159
2002-01-15,15.670857429504395,16.027013778686523,15.670857429504395,16.027013778686523,-51.0047721862793,1254883
2002-01-16,15.896712303161621,15.9835786819458,15.722976684570312,15.9835786819458,-50.86653137207031,2321553
2002-01-17,15.896712303161621,16.348421096801758,15.86196517944336,16.348421096801758,-52.02762222290039,3806425
2002-01-18,16.15731430053711,16.313674926757812,16.113880157470703,16.15731430053711,-51.419429779052734,1719868
2002-01-21,16.13994026184082,16.14862632751465,15.809844970703125,16.027013778686523,-51.0047721862793,1277860
